,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
4493,4493,Toyota,Sienna,1999.0,280287.0,"C45, Ilorin",Automatic,Registered,0,906000,Nigerian used,20
4494,4494,Volkswagen,Jetta,2007.0,142705.0,"C45, Lagos",Automatic,Registered,0,1018000,Nigerian used,44
4495,4495,Porsche,Cayenne,2004.0,148559.0,"C45, Lagos",Automatic,Registered,0,2698000,Nigerian used,17
4496,4496,Toyota,Camry,2004.0,147009.0,"C45, Lagos",Automatic,Registered,BLUE,1522000,Nigerian used,26
4497,4497,Kia,Cerato,2010.0,150102.0,"C45, Lagos",Automatic,Registered,BLACK,906000,Nigerian used,0
4498,4498,Lexus,Rx,2007.0,94563.0,"C45, Lagos",Automatic,Imported,0,4826000,Foreign used,23
4499,4499,Lexus,Rx,1999.0,126858.0,"C45, Lagos",Automatic,Registered,SILVER,1145000,Nigerian used,23
4500,4500,Renault,Laguna,2004.0,152082.0,"C45, Abuja",Manual,Registered,Silver,570000,Nigerian used,0
4501,4501,Hyundai,Veloster,2014.0,29211.0,"C45, Lagos",Automatic,Registered,SILVER,3594000,Nigerian used,25
4502,4502,Toyota,Sequoia,2001.0,209916.0,"C45, Ilorin",Automatic,Registered,0,1145000,Nigerian used,14
4503,4503,Toyota,Camry,2007.0,84297.0,"C45, Abuja",Automatic,Registered,Silver,2082000,Nigerian used,26
4504,4504,Hyundai,Sonata,2011.0,173531.0,"C45, Lagos",Automatic,Imported,BLACK,3057500,Foreign used,47
4505,4505,Toyota,Highlander,2002.0,99451.0,"C45, Lagos",Automatic,Registered,Gold,2157500,Nigerian used,36
4506,4506,Toyota,Sienna,2000.0,225843.0,"C45, Abuja",Automatic,Registered,WHITE,1578000,Nigerian used,20
4507,4507,Isuzu,Rodeo,2002.0,73840.0,"C45, Lagos",Automatic,Registered,BLACK,685000,Nigerian used,0
4508,4508,Honda,Accord,2006.0,211384.0,"C45, Abuja",Automatic,Registered,Silver,1145000,Nigerian used,48
4509,4509,Toyota,Sienna,2008.0,220352.0,"C45, Lagos",Automatic,Imported,BLUE,3113750,Foreign used,20
4510,4510,Land,Range,2012.0,41745.0,"C45, Lagos",Automatic,Registered,BLACK,8970000,Nigerian used,18
4511,4511,Mercedes-Benz,Ml350,2004.0,107505.0,"C45, Abuja",Automatic,Registered,Black,1690000,Nigerian used,20
4512,4512,Kia,Rio,2009.0,65121.0,"C45, Lagos",Manual,Registered,BLACK,794000,Nigerian used,36
4513,4513,Mitsubishi,Attrage,2014.0,150807.0,"C45, Port",Manual,Registered,0,2474000,Nigerian used,0
4514,4514,Hyundai,Sonata,2011.0,172738.0,"C45, Lagos",Automatic,Imported,GOLD,3594000,Foreign used,47
4515,4515,Nissan,Almera,2012.0,89573.0,"C45, Lagos",Automatic,Registered,BLACK,1802000,Nigerian used,0
4516,4516,Lexus,Es,2007.0,58355.0,"C45, Port",Automatic,Registered,Silver,2922000,Nigerian used,26
4517,4517,Honda,Cr-V,2015.0,97900.0,"C45, Lagos",Automatic,Imported,Grey,9194000,Foreign used,30
4518,4518,Honda,Cr-V,2007.0,136202.0,"C45, Abuja",Automatic,Registered,Red,1690000,Nigerian used,30
4519,4519,Toyota,Corolla,2016.0,90152.0,"C45, Lagos",Automatic,Imported,GREY,5050000,Foreign used,34
4520,4520,Toyota,Camry,2007.0,196060.0,"C45, ",Automatic,Imported,Silver,2922000,Foreign used,26
4521,4521,Ford,F-150,2008.0,195542.0,"C45, Abuja",Automatic,Registered,BLUE,5050000,Nigerian used,19
4522,4522,Mercedes-Benz,C300,2008.0,314385.0,"C45, Abuja",Automatic,Registered,BLACK,3620000,Nigerian used,27
4523,4523,Volkswagen,Passat,1998.0,86851.0,"C45, Lagos",Automatic,Registered,blue,638750,Nigerian used,28
4524,4524,Toyota,Matrix,2004.0,149874.0,"C45, Abuja",Automatic,Registered,Grey,1595000,Nigerian used,22
4525,4525,Toyota,Avalon,2000.0,106758.0,"C45, Port",Automatic,Registered,Gold,1032500,Nigerian used,26
