,Make,Model,Engine Type,Transmission,Drive Type,Combined MPG,Total Seating,Fuel Tank Capacity,Fuel Type,Base Engine Size,Horsepower,Torque,Turning Circle,Front Head Room,Front Hip Room,Front Leg Room,Front Shoulder Room,Rear Head Room,Rear Hip Room,Rear Leg Room,Rear Shoulder Room,"Cargo Capacity, All Seats In Place",Curb Weight,EPA Interior Volume,Length,Overall Width Without Mirrors,Wheel Base
1995,Mitsubishi,Outlander,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
1996,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
1997,Toyota,4Runner,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
1998,Pontiac,Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,Ford,Edge,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
2000,Toyota,Matrix,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2001,Hyundai,Accent,Gas,Continuously variable-speed automatic,Front wheel drive,36,5,11.9,Regular unleaded,1.6,120,113,33.5,38.9,51.7,42.1,54.2,37.3,50.8,33.5,53.7,13.7,2623,0,172.6,68.1,101.6
2002,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2003,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2004,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2005,Mercedes-Benz,E320,Gas,9-speed shiftable automatic,Rear wheel drive,25,5,17.4,Premium unleaded (required),2.0,255,273,38.1,0,0,41.7,57.8,0,0,36.2,57.1,13.1,0,0,194.3,73.7,115.7
2006,Ford,Explorer,Gas,10-speed shiftable automatic,All wheel drive,23,6,17.9,Regular unleaded,2.3,300,0,0,40.7,59.2,43.0,61.8,40.5,59.1,39.0,0,18.2,0,0,198.8,78.9,119.1
2007,Mercedes-Benz,E320,Gas,9-speed shiftable automatic,Rear wheel drive,25,5,17.4,Premium unleaded (required),2.0,255,273,38.1,0,0,41.7,57.8,0,0,36.2,57.1,13.1,0,0,194.3,73.7,115.7
2008,Volkswagen,Golf,Gas,6-speed manual,Front wheel drive,26,5,13.2,Premium unleaded (recommended),2.0,228,258,35.8,0,0,41.2,55.9,0,0,35.6,53.9,17.4,3133,118.3,168.0,70.8,103.6
2009,Nissan,Altima,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,16.2,Regular unleaded,2.5,188,180,36.1,39.2,54.7,43.8,58.2,36.9,54.5,35.2,57.1,15.4,3207,0,192.9,72.9,111.2
2010,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2011,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2012,Toyota,Avensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Toyota,Echo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2015,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2016,Honda,Odyssey,Gas,10-speed shiftable automatic,Front wheel drive,22,8,19.5,Regular unleaded,3.5,280,262,39.6,38.7,58.6,40.9,63.1,39.2,64.8,40.9,61.6,38.6,4603,0,205.2,78.5,118.1
2017,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2018,Volkswagen,Amarok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Lexus,Gx460,Gas,6-speed shiftable automatic,Four wheel drive,16,7,23.0,Premium unleaded (required),4.6,301,329,41.1,38.0,56.5,41.7,55.4,40.4,55.2,34.1,57.3,11.6,5126,141.3,192.1,74.2,109.8
2020,Toyota,4Runner,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2021,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2022,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2023,Toyota,4Runner,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2024,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2025,Ssangyong,Actyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,Kia,Soul,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
2027,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2028,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2029,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2030,Nissan,Pathfinder,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
2031,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2032,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2033,Land,Lr2,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2034,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2035,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2036,Mercedes-Benz,Ml350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2037,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2038,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2039,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2040,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2041,Mercedes-Benz,Ml350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2042,Honda,Civic,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2043,Lexus,Is,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2044,Lexus,Es,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2045,Mercedes-Benz,GLE350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2046,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2047,Ford,Edge,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
2048,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2049,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2050,Nissan,Pathfinder,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
2051,Kia,Sportage,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
2052,Mazda,Cx-7,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2053,Mercedes-Benz,C180,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2054,Kia,Sportage,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
2055,Hyundai,Sonata,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2056,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2057,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2058,Hyundai,Ix35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,Volkswagen,Golf,Gas,6-speed manual,Front wheel drive,26,5,13.2,Premium unleaded (recommended),2.0,228,258,35.8,0,0,41.2,55.9,0,0,35.6,53.9,17.4,3133,118.3,168.0,70.8,103.6
2060,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2061,Mercedes-Benz,Ml350,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2062,Pontiac,Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2064,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2065,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2066,Toyota,Avensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2068,Infiniti,Fx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,Toyota,Matrix,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2070,Nissan,Altima,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,16.2,Regular unleaded,2.5,188,180,36.1,39.2,54.7,43.8,58.2,36.9,54.5,35.2,57.1,15.4,3207,0,192.9,72.9,111.2
2071,Mercedes-Benz,E550,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2072,Toyota,HiAce,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2073,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2074,Ford,Edge,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
2075,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2076,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2077,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2078,Mercedes-Benz,Ml500,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2079,Toyota,Tundra,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2080,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2081,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2082,Nissan,Maxima,Gas,Continuously variable-speed automatic,Front wheel drive,24,5,18.0,Premium unleaded (recommended),3.5,300,261,38.1,39.4,54.2,45.0,56.7,36.7,53.5,34.2,55.7,14.3,3612,112.8,192.8,73.2,109.3
2083,Toyota,Sienna,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2084,Pontiac,Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,Buick,Lacrosse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,Toyota,Sequoia,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2087,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2088,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2089,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2090,Lexus,Is,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2091,Toyota,4Runner,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2092,Peugeot,206,Gas,9-speed shiftable automatic,Front wheel drive,23,8,19.5,Regular unleaded,3.5,280,262,39.4,39.5,59.1,40.9,62.0,39.9,57.3,38.4,62.0,16.5,4041,168.2,196.5,78.6,111.0
2093,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2094,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
2095,Mercedes-Benz,C180,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,15.8,Regular unleaded,1.5,160,184,37.0,39.1,54.1,41.5,58.5,37.5,53.4,38.1,57.1,15.7,3135,0,194.2,73.0,111.4
2096,Lexus,Is,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2097,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2098,Nissan,Pathfinder,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
2099,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2100,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2101,Pontiac,Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,Toyota,Camry,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2103,Hyundai,Santa,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2104,BMW,5,Gas,9-speed shiftable automatic,Rear wheel drive,25,5,17.4,Premium unleaded (required),2.0,255,273,38.1,0,0,41.7,57.8,0,0,36.2,57.1,13.1,0,0,194.3,73.7,115.7
2105,Toyota,Corolla,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,13.2,Regular unleaded,1.8,139,126,35.6,38.3,53.9,42.0,54.0,37.1,51.3,34.8,51.7,13.1,2910,101.7,182.3,70.1,106.3
2106,Lexus,Rx,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2107,Mercedes-Benz,Vito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,Ford,Taurus,Flex-fuel (ffv),10-speed shiftable automatic,Four wheel drive,20,6,26.0,Flex-fuel (unleaded/e85),3.3,290,265,47.8,40.8,62.5,43.9,66.7,40.4,62.6,43.6,66.0,0,0,0,231.7,79.9,145.4
2109,Toyota,Highlander,Gas,8-speed shiftable automatic,All wheel drive,29,5,14.5,Regular unleaded,2.5,203,184,36.1,39.5,54.3,41.0,57.8,39.5,47.7,37.8,56.4,37.5,3490,136.4,180.9,73.0,105.9
2110,Honda,Pilot,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.0,Regular unleaded,1.5,190,179,0,40.1,55.1,41.3,57.9,39.2,49.5,40.4,55.6,39.2,3337,145.1,182.1,73.0,104.8
2111,Kia,Sorento,Gas,8-speed automatic,Front wheel drive,26,7,17.7,Regular unleaded,2.5,191,181,37.9,40.3,55.6,41.4,59.1,39.1,55.1,41.7,58.1,12.6,3794,121.3,189.0,74.8,110.8
2112,Audi,Tt,Gas,Continuously variable-speed automatic,Front wheel drive,32,5,16.2,Regular unleaded,2.5,188,180,36.1,39.2,54.7,43.8,58.2,36.9,54.5,35.2,57.1,15.4,3207,0,192.9,72.9,111.2
2113,Nissan,Quest,Gas,Continuously variable-speed automatic,Front wheel drive,30,5,14.5,Regular unleaded,2.5,181,181,35.4,41.1,54.1,41.5,57.1,39.2,53.4,38.5,55.9,31.6,3371,137.0,183.0,72.4,106.5
2114,Land,Discovery,Gas,6-speed shiftable automatic,All wheel drive,23,5,18.0,Premium unleaded (recommended),2.0,245,275,38.0,37.9,55.1,44.3,57.7,36.6,53.8,37.0,55.3,15.4,3906,0,193.9,73.4,112.2
2115,Honda,Accord,Gas,Continuously variable-speed automatic,Front wheel drive,33,5,14.8,Regular unleaded,1.5,192,192,38.1,37.5,55.3,42.3,58.3,37.2,55.0,40.4,56.5,16.7,3217,0,192.2,73.3,111.4
