,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
4806,Mercedes-Benz,Gl450,2007,109703,"C45, Abuja",Automatic,Registered,Black,5610000,Nigerian used
4807,Ford,Edge,2007,132419,"C45, Lagos",Automatic,Imported,BLACK,2607500,Foreign used
4808,Nissan,Pathfinder,2006,119146,"C45, Lagos",Automatic,Registered,SILVER,1370000,Nigerian used
4809,Kia,Rio,2016,29405,"C45, Port",Automatic,Registered,0,3957500,Nigerian used
4810,Mercedes-Benz,Glk350,2013,34932,"C45, Abuja",Automatic,Registered,Black,6545000,Nigerian used
4811,Toyota,Sienna,1999,206040,"C45, ",Automatic,Registered,GREEN,953750,Nigerian used
4812,Mercedes-Benz,Sprinter,2011,128877,"C45, Lagos",Automatic,Imported,GREY,16332500,Foreign used
4813,Toyota,Venza,2009,105304,"C45, Abuja",Automatic,Registered,0,4295000,Nigerian used
4814,Toyota,Sienna,2012,315547,"C45, Port",Automatic,Registered,0,4407500,Nigerian used
4815,Toyota,Land,2011,157461,"C45, Lagos",Automatic,Registered,BLACK,12395000,Nigerian used
4816,Mercedes-Benz,C300,2010,85870,"C45, Lagos",Automatic,Imported,Black,3282500,Foreign used
4817,Land,Range,2010,125156,"C45, Owerri",Automatic,Registered,BLACK,6770000,Nigerian used
4818,Suzuki,Grand,2014,109836,"C45, Lagos",Automatic,Registered,Black,1707500,Nigerian used
4819,Honda,Pilot,2012,95080,"C45, Lagos",Automatic,Registered,Black,5082500,Nigerian used
4820,Honda,Pilot,2012,110036,"C45, Lagos",Automatic,Registered,Black,5082500,Nigerian used
4821,Toyota,4Runner,2016,39581,"C45, Lagos",Automatic,Imported,BLACK,15770000,Foreign used
4822,BMW,X6,2010,55890,"C45, Abuja",Automatic,Registered,BLACK,3957500,Nigerian used
4823,Bentley,Continental,2005,64754,"C45, Abuja",Automatic,Registered,BLACK,16895000,Nigerian used
4824,Ford,Taurus,2010,205321,"C45, Kaduna",Automatic,Imported,SILVER,3282500,Foreign used
